"Id","Kind","Category","PlayerWorkflow","Operations","ControllerPath","TextEntry","HapticConfirmation","Implementation","Validation","Evidence"
"SCENE_LOGIN","LegacyScene","Session","Login","Select account and password fields; enter credentials; remember account; connect; cancel","Left stick or D-pad focus; A activate; B cancel; View next field; Menu submit; right-stick pointer fallback","Controller keyboard in ABC mode for account and password","Submit immediate; login result is server-confirmed","SemanticKeys+ControllerKeyboard","PendingRuntime","UI/Legacy/UIMng; LoginWin; ControllerKeyboard"
"SCENE_SERVER_LIST","LegacyScene","Session","Server selection","Select server group and server; page or scroll; connect; back","D-pad or left stick focus; A choose; B back; right-stick pointer fallback","N/A","Focus and confirm immediate; connection result server-confirmed","SemanticKeys+PointerFallback","PendingRuntime","UI/Legacy/UIMng; ServerListManager"
"SCENE_CHARACTER_SELECT","LegacyScene","Character","Character selection","Cycle character; enter world; open create; request delete; cancel","D-pad or left stick focus; A select or enter; X secondary/delete; Y details/create; B back; pointer fallback","Controller keyboard for delete confirmation or PIN when requested","Selection immediate; creation/deletion/login result server-confirmed","SemanticKeys+ControllerKeyboard+PointerFallback","PendingRuntime","Character/CharSelMainWin"
"SCENE_CHARACTER_CREATE_DELETE","LegacyScene","Character","Character creation and deletion","Choose class; enter name; create; enter PIN/password; confirm deletion; cancel","D-pad or left stick focus; shoulder buttons change class; A confirm; B cancel; View next field; Menu submit","ABC controller keyboard for character names; numeric or ABC mode for security fields","Request immediate; create/delete result server-confirmed","SemanticKeys+ControllerKeyboard+PointerFallback","PendingRuntime","Character/CharMakeWin; Network/Server/WSclient"
"WORLD_MOVEMENT_PICKUP","Gameplay","World","Movement and interaction","Move; auto-move; interact; pick up; select target; map; cancel current action","Left stick move; L3 auto-move; A interact or pick up; R3 cycle target; View map; B cancel; right stick world pointer","N/A","Pickup and item result server-confirmed; target and cancel immediate","NativeSemanticActions","PendingRuntime","App/Platform/Windows/Winmain; Input/Selection"
"WORLD_COMBAT_SKILLS","Gameplay","Combat","Combat and skills","Basic attack; current skill; target lock; target cycle; skill-page cycle; skill hotkeys","X basic attack; RT current skill; LT target lock; R3 next target; LB or RB previous/next skill; D-pad hotkeys","N/A","Hit, critical, heavy hit, damage and death are server-confirmed","NativeSemanticActions","PendingRuntime","App/Platform/Windows/Winmain; Network/Server/WSclient"
"WORLD_PET_POTIONS_HELPER","Gameplay","Combat","Pet, consumables and automation","Use four quick items; select and execute pet commands through the skill system; start or stop MU Helper","D-pad quick items; assigned pet commands use the existing skill selection plus RT path; L3 auto-move; Menu opens system menu; Y opens shortcut keyboard","N/A","Item use and helper result server-confirmed where available","SemanticKeys+PointerFallback","PendingRuntime","NewUIHotKey; NewUIMuHelper; PacketFunctions_ClientToServer"
"WORKFLOW_SHORTCUT_KEYBOARD","LegacyWorkflow","System","Keyboard-only commands and modifiers","Open command keys; navigate; send function or letter keys; toggle Ctrl Shift Alt; scroll; clear modifiers","Y in world or View plus Start elsewhere; D-pad or left stick selection; A activate; B clear and close; LT Ctrl and RT Shift in UI","Dedicated command keyboard; text fields retain the text-entry keyboard","Low-priority input acknowledgement; focus and confirm feedback; command results remain server-confirmed","SemanticKeys+PointerFallback","PendingRuntime","UI/ControllerKeyboard/ControllerShortcuts; App/Platform/Windows/Winmain"
"WORKFLOW_GUILD_STORAGE","LegacyWorkflow","Inventory","Guild warehouse","Open guild storage; move items; deposit/withdraw guild items or Zen where permitted; close","D-pad or left stick grid focus; A pick/place; hold A drag; X money/secondary; Y details; B close; right-stick pointer fallback","Numeric controller keyboard for amounts or security fields","Move and money results server-confirmed","PointerFallback+ControllerKeyboard","PendingRuntime","UI/Legacy/UIManager INTERFACE_GUILDSTORAGE; storage packet paths"
"WORKFLOW_CHAT_MAIL","LegacyWorkflow","Social","Chat, whisper and mail","Open chat; enter simplified Chinese; choose channel; whisper; compose, read and delete mail","A focus; View next field; Menu submit; shoulder buttons page candidates or lists; B back; pointer fallback","Controller keyboard with Rime simplified-pinyin candidates","Send immediate; failure and mail result server-confirmed","ControllerKeyboard+PointerFallback","PendingRuntime","NewUIChatInputBox; NewUIFriendWindow; PacketFunctions_ClientToServer"
"WORKFLOW_RECONNECT_ERRORS","LegacyWorkflow","Session","Reconnect and error dialogs","Acknowledge errors; retry reconnect; cancel; return to login","D-pad focus; A confirm or retry; B cancel or back; right-stick pointer fallback","Controller keyboard when a dialog requests credentials or PIN","Confirm/cancel immediate; reconnect result server-confirmed","SemanticKeys+ControllerKeyboard+PointerFallback","PendingRuntime","Network/Reconnect; NewUIMessageBox; UI/Legacy"
"EDITOR_IMGUI","LegacyWorkflow","Editor","MuEditor gamepad navigation","Move ImGui focus; activate controls; adjust values; switch tabs; close popups","ImGui NavEnableGamepad; D-pad or left stick focus; A activate; B cancel; LB/RB tabs; shared active SDL gamepad","Editor text fields use ImGui input and the operating-system keyboard; game client screen keyboard is not injected into editor builds","Focus and setting changes use editor UI feedback; gameplay semantic haptics are not emitted","ImGuiNativeNavigation","PendingRuntime","MuEditor ImGuiIO ConfigFlags_NavEnableGamepad"
"LEGACY_m_MsgWin","LegacyWindow","System","Legacy message window","Read message; choose confirm/cancel/alternate response; close","D-pad or left stick focus; A confirm; X alternate; B cancel; right-stick pointer fallback","Controller keyboard for amount, name, password or PIN message variants","Confirm/cancel immediate; requested operation server-confirmed","SemanticKeys+ControllerKeyboard+PointerFallback","PendingRuntime","UI/Legacy/UIMng.cpp m_WinList; UI/Windows/MsgWin"
"LEGACY_m_SysMenuWin","LegacyWindow","System","Legacy system menu","Resume; options; server select; character select; logout; exit","D-pad or left stick focus; A choose; B resume; right-stick pointer fallback","N/A","Focus and confirm/cancel immediate","SemanticKeys+PointerFallback","PendingRuntime","UI/Legacy/UIMng.cpp m_WinList; UI/Windows/SysMenuWin"
"LEGACY_m_OptionWin","LegacyWindow","System","Legacy options","Change legacy sound, display and input settings; apply; cancel","D-pad or left stick focus; A toggle; left/right adjust; B cancel; pointer fallback","N/A","Setting-step and confirm/cancel immediate","SemanticKeys+PointerFallback","PendingRuntime","UI/Legacy/UIMng.cpp m_WinList; UI/Windows/OptionWin"
"LEGACY_m_LoginMainWin","LegacyWindow","Session","Login main menu","Open login; select server; credits; options; exit","D-pad or left stick focus; A choose; B back; right-stick pointer fallback","N/A","Focus and confirm/cancel immediate","SemanticKeys+PointerFallback","PendingRuntime","UI/Legacy/UIMng.cpp m_WinList; UI/Windows/LoginMainWin"
"LEGACY_m_ServerSelWin","LegacyWindow","Session","Legacy server selection","Browse groups and servers; select; scroll; back","D-pad or left stick focus; A select; B back; right-stick pointer fallback","N/A","Selection immediate; connection result server-confirmed","SemanticKeys+PointerFallback","PendingRuntime","UI/Legacy/UIMng.cpp m_WinList; UI/Windows/ServerSelWin"
"LEGACY_m_LoginWin","LegacyWindow","Session","Legacy credential entry","Choose account and password; type; remember; submit; cancel","D-pad or left stick focus; A activate; View next field; Menu submit; B cancel; pointer fallback","Controller keyboard in ABC mode for account and password","Submit immediate; login result server-confirmed","SemanticKeys+ControllerKeyboard+PointerFallback","PendingRuntime","UI/Legacy/UIMng.cpp m_WinList; UI/Windows/LoginWin"
"LEGACY_m_CreditWin","LegacyWindow","System","Credits","Read and scroll credits; close","D-pad scroll; A continue; B close; right-stick pointer fallback","N/A","Page/close immediate","PointerFallback","PendingRuntime","UI/Legacy/UIMng.cpp m_WinList; UI/Windows/CreditWin"
"LEGACY_m_ServerMsgWin","LegacyWindow","Session","Server messages","Read server notices; scroll; dismiss where offered","D-pad scroll; A acknowledge; B close expanded view; pointer fallback","N/A","Acknowledge immediate","PointerFallback","PendingRuntime","UI/Legacy/UIMng.cpp m_WinList; UI/Windows/ServerMsgWin"
"LEGACY_m_CharSelMainWin","LegacyWindow","Character","Legacy character selection","Cycle characters; enter; create; delete; return","D-pad or left stick focus; A enter/select; X delete; Y create/details; B back; pointer fallback","Controller keyboard for deletion PIN/password when requested","Selection immediate; enter/delete result server-confirmed","SemanticKeys+ControllerKeyboard+PointerFallback","PendingRuntime","UI/Legacy/UIMng.cpp m_WinList; Character/CharSelMainWin"
"LEGACY_m_CharMakeWin","LegacyWindow","Character","Legacy character creation","Choose class; type name; create; cancel","D-pad or left stick focus; LB/RB class; A create; B cancel; pointer fallback","Controller keyboard with Chinese name mode","Create result server-confirmed","SemanticKeys+ControllerKeyboard+PointerFallback","PendingRuntime","UI/Legacy/UIMng.cpp m_WinList; Character/CharMakeWin"
"DYNAMIC_UIWNDTYPE_CHAT","DynamicWindow","Social","Private chat room","Enter message; send; browse participants; invite; leave","D-pad or left stick focus; A activate/select; View next field; Menu send; X invite; B close; pointer fallback","Controller keyboard with simplified-pinyin candidates","Send immediate; room and invitation result server-confirmed","ControllerKeyboard+PointerFallback","PendingRuntime","UI/Legacy/UIWindows.h UIWINDOWSTYPE; CUIChatWindow"
"DYNAMIC_UIWNDTYPE_CHAT_READY","DynamicWindow","Social","Pending private chat room","Review connection state; invite; cancel or close","D-pad or left stick focus; A confirm; X invite; B cancel; pointer fallback","Controller keyboard when room input becomes active","Room connection result server-confirmed","ControllerKeyboard+PointerFallback","PendingRuntime","UI/Legacy/UIWindows.h UIWINDOWSTYPE; CUIChatWindow"
"DYNAMIC_UIWNDTYPE_FRIENDMAIN","DynamicWindow","Social","Legacy friends and mail hub","Browse friends/chat rooms/mail tabs; add/delete; whisper; read/write mail","D-pad or left stick focus; A primary; X secondary/delete; Y details; LB/RB tabs; B close; pointer fallback","Controller keyboard for names, chat and mail","Friend, room and mail results server-confirmed","ControllerKeyboard+PointerFallback","PendingRuntime","UI/Legacy/UIWindows.h UIWINDOWSTYPE; CUIFriendWindow"
"DYNAMIC_UIWNDTYPE_TEXTINPUT","DynamicWindow","System","Generic text input","Enter context-specific name, amount or text; confirm; cancel","A focus; View next field; Menu submit; B cancel; pointer fallback","Controller keyboard chooses Chinese, ABC or numeric mode from focused field","Confirm immediate; requested operation server-confirmed","ControllerKeyboard+PointerFallback","PendingRuntime","UI/Legacy/UIWindows.h UIWINDOWSTYPE; CUITextInputWindow"
"DYNAMIC_UIWNDTYPE_QUESTION","DynamicWindow","System","Question dialog","Read prompt; confirm or reject; close","D-pad or left stick focus; A confirm; X reject; B cancel; pointer fallback","N/A","Confirm/cancel immediate; requested operation server-confirmed","SemanticKeys+PointerFallback","PendingRuntime","UI/Legacy/UIWindows.h UIWINDOWSTYPE; CUIQuestionWindow"
"DYNAMIC_UIWNDTYPE_READLETTER","DynamicWindow","Social","Read mail","Read and scroll; reply; delete; previous/next; close","D-pad scroll/focus; A primary; X delete; Y reply/details; LB/RB previous/next; B close; pointer fallback","Controller keyboard when replying","Read/delete result server-confirmed","ControllerKeyboard+PointerFallback","PendingRuntime","UI/Legacy/UIWindows.h UIWINDOWSTYPE; CUILetterReadWindow"
"DYNAMIC_UIWNDTYPE_WRITELETTER","DynamicWindow","Social","Compose mail","Enter receiver, title and body; choose pose; send; cancel","D-pad or left stick focus; View next field; Menu send; LB/RB pose; B cancel; pointer fallback","Controller keyboard with simplified-pinyin candidates","Send result server-confirmed","ControllerKeyboard+PointerFallback","PendingRuntime","UI/Legacy/UIWindows.h UIWINDOWSTYPE; CUILetterWriteWindow"
"DYNAMIC_UIWNDTYPE_OK","DynamicWindow","System","Information dialog","Read message; acknowledge; close","A acknowledge; B close; pointer fallback","N/A","Acknowledge immediate","SemanticKeys+PointerFallback","PendingRuntime","UI/Legacy/UIWindows.h UIWINDOWSTYPE; CUIOkWindow"
"DYNAMIC_UIWNDTYPE_QUESTION_FORCE","DynamicWindow","System","Blocking question dialog","Read prompt; confirm or reject; cannot bypass accidentally","D-pad focus; A confirm; X reject; B maps to explicit reject only; pointer fallback","N/A","Confirm/cancel immediate; requested operation server-confirmed","SemanticKeys+PointerFallback","PendingRuntime","UI/Legacy/UIWindows.h UIWINDOWSTYPE; force question variant"
"DYNAMIC_UIWNDTYPE_OK_FORCE","DynamicWindow","System","Blocking information dialog","Read server/system error; acknowledge","A acknowledge; pointer fallback; B only when dialog permits close","N/A","Acknowledge immediate","SemanticKeys+PointerFallback","PendingRuntime","UI/Legacy/UIWindows.h UIWINDOWSTYPE; force OK variant"
"INTERFACE_FRIEND","NewUI","Social","Friends, whisper and mail","Browse friends; add/delete; invite; whisper; open mail; online state","D-pad or left stick focus; A primary; X secondary/delete; Y details; LB/RB page; B close; pointer fallback","Controller keyboard for player names, chat and mail","UI immediate; add/delete/invite and mail results server-confirmed","ControllerKeyboard+PointerFallback","PendingRuntime","NewUIFriendWindow; PacketFunctions SendFriend/SendLetter"
"INTERFACE_MOVEMAP","NewUI","Navigation","Move command","Browse destinations; inspect level and cost; warp; close","D-pad or left stick focus; A warp; Y details; LB/RB page; B close; pointer fallback","N/A","Selection immediate; warp result server-confirmed","SemanticKeys+PointerFallback","PendingRuntime","NewUIMoveCommandWindow"
"INTERFACE_PARTY","NewUI","Social","Party member panel","Inspect members; select member; leave or kick where permitted","D-pad or left stick focus; A select; X secondary; Y details; B close; pointer fallback","N/A","Focus immediate; party result server-confirmed","PointerFallback","PendingRuntime","NewUIPartyInfoWindow"
"INTERFACE_MYQUEST","NewUI","Quest","Quest log","Browse quests; select; inspect progress; cancel or navigate","D-pad or left stick focus; A select; X cancel/secondary; Y details; LB/RB page; B close; pointer fallback","N/A","UI immediate; quest change result server-confirmed","PointerFallback","PendingRuntime","NewUIMyQuestInfoWindow"
"INTERFACE_NPCQUEST","NewUI","Quest","Legacy NPC quest","Read dialogue; accept; proceed; complete; decline","D-pad or left stick focus; A accept/proceed; X decline; Y details; B close; pointer fallback","N/A","Quest result server-confirmed","PointerFallback","PendingRuntime","NewUINPCQuest"
"INTERFACE_GUILDINFO","NewUI","Guild","Guild and alliance","Browse members; roles; kick; alliance; war; leave; guild notices","D-pad or left stick focus; A primary; X role/delete; Y details; LB/RB tabs; B close; pointer fallback","Controller keyboard for names, notices and security code","UI immediate; guild changes server-confirmed","ControllerKeyboard+PointerFallback","PendingRuntime","Guild/NewUIGuildInfoWindow"
"INTERFACE_TRADE","NewUI","Trade","Player trade","Move items; set money; lock/confirm; cancel; inspect items","D-pad or left stick grid focus; A pick/place; hold A drag; X set money/secondary; Y details; B cancel; pointer fallback","Numeric controller keyboard for money","Trade result and failures server-confirmed","PointerFallback+ControllerKeyboard","PendingRuntime","NewUITrade; PacketFunctions SendTrade"
"INTERFACE_STORAGE","NewUI","Inventory","Warehouse","Move items; deposit/withdraw Zen; unlock PIN; repair-like item inspection; close","D-pad or left stick grid focus; A pick/place; hold A drag; X money/secondary; Y details; B close; pointer fallback","Numeric keyboard for amount/PIN; ABC keyboard for account password","Move, money and vault protection result server-confirmed","PointerFallback+ControllerKeyboard","PendingRuntime","NewUIStorageInventory; PacketFunctions SendVault"
